Info 0    [09:39:59.498] Starting TS Server
Info 1    [09:39:59.498] Version: 4.8.4
Info 2    [09:39:59.498] Arguments: /home/lazywithclass/bin/node-v16.15.1-linux-x64/bin/node /home/lazywithclass/workspace/digitazon-bootcamp-project-2/client/node_modules/typescript/lib/tsserver.js --logFile /home/lazywithclass/workspace/digitazon-bootcamp-project-2/client/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/4fb84b462024dc686d924ca50c8e59cf/tscancellation*
Info 3    [09:39:59.498] Platform: linux NodeVersion: 16 CaseSensitive: true
Info 4    [09:39:59.498] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [09:39:59.508] Format host information updated
Info 6    [09:39:59.532] Search path: /home/lazywithclass/workspace/digitazon-bootcamp-project-2/client/src/components
Info 7    [09:39:59.533] For info: /home/lazywithclass/workspace/digitazon-bootcamp-project-2/client/src/components/Mouse.js :: No config files found.
Info 8    [09:39:59.537] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [09:40:01.397] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 1859.8027000000002ms
Info 10   [09:40:01.397] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [09:40:01.398] 	Files (202)

Info 12   [09:40:01.398] -----------------------------------------------
Info 13   [09:40:01.408] AutoImportProviderProject: found 5 root files in 5 dependencies in 8.325399999972433 ms
Info 14   [09:40:01.409] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 15   [09:40:01.516] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 106.87249999999767ms
Info 16   [09:40:01.516] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 17   [09:40:01.516] 	Files (130)

Info 18   [09:40:01.516] -----------------------------------------------
Info 19   [09:40:29.064] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [09:40:29.164] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true structureIsReused:: SafeModules Elapsed: 100.476800000004ms
Info 21   [09:40:29.165] Different program with same set of files
Info 22   [09:40:31.409] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 23   [09:40:31.422] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 13.275699999998324ms
Info 24   [09:40:31.422] Different program with same set of files
Info 25   [09:40:31.681] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 26   [09:40:31.694] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 12.36019999999553ms
Info 27   [09:40:31.694] Different program with same set of files
Info 28   [09:40:32.033] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 29   [09:40:32.039] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 6.701199999952223ms
Info 30   [09:40:32.039] Different program with same set of files
Info 31   [09:40:32.956] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 32   [09:40:32.962] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 6.138599999947473ms
Info 33   [09:40:32.962] Different program with same set of files
Info 34   [09:40:35.520] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 35   [09:40:35.526] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 5.712400000018533ms
Info 36   [09:40:35.526] Different program with same set of files
Info 37   [09:40:37.623] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 38   [09:40:37.631] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false structureIsReused:: Completely Elapsed: 8.53200000000652ms
Info 39   [09:40:37.631] Different program with same set of files
Info 40   [09:40:37.633] getCompletionData: Get current token: 0.019499999994877726
Info 41   [09:40:37.633] getCompletionData: Is inside comment: 0.0055000000284053385
Info 42   [09:40:37.633] getCompletionData: Get previous token: 0.09930000000167638
Info 43   [09:40:37.633] getCompletionsAtPosition: isCompletionListBlocker: 0.12739999999757856
Info 44   [09:40:37.633] Returning an empty list because completion was requested in an invalid position.
Info 45   [09:40:37.635] getCompletionData: Get current token: 0.005899999989196658
Info 46   [09:40:37.635] getCompletionData: Is inside comment: 0.0032000000355765224
Info 47   [09:40:37.636] getCompletionData: Get previous token: 0.01999999996041879
Info 48   [09:40:37.636] getCompletionsAtPosition: isCompletionListBlocker: 0.002299999992828816
Info 49   [09:40:37.636] Returning an empty list because completion was requested in an invalid position.
Info 50   [09:40:37.636] getCompletionData: Get current token: 0.004500000039115548
Info 51   [09:40:37.636] getCompletionData: Is inside comment: 0.002900000021327287
Info 52   [09:40:37.636] getCompletionData: Get previous token: 0.021700000041164458
Info 53   [09:40:37.636] getCompletionsAtPosition: isCompletionListBlocker: 0.002800000016577542
Info 54   [09:40:37.636] Returning an empty list because completion was requested in an invalid position.
Info 55   [09:40:37.636] getCompletionData: Get current token: 0.004299999971408397
Info 56   [09:40:37.636] getCompletionData: Is inside comment: 0.0025000000023283064
Info 57   [09:40:37.636] getCompletionData: Get previous token: 0.022300000011455268
Info 58   [09:40:37.636] getCompletionsAtPosition: isCompletionListBlocker: 0.001500000013038516
Info 59   [09:40:37.636] Returning an empty list because completion was requested in an invalid position.
Info 60   [09:40:37.636] getCompletionData: Get current token: 0.009000000020023435
Info 61   [09:40:37.636] getCompletionData: Is inside comment: 0.006999999983236194
Info 62   [09:40:37.636] getCompletionData: Get previous token: 0.019499999994877726
Info 63   [09:40:37.636] getCompletionsAtPosition: isCompletionListBlocker: 0.0025000000023283064
Info 64   [09:40:37.636] Returning an empty list because completion was requested in an invalid position.
Info 65   [09:40:43.190] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 66   [09:40:43.254] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: true structureIsReused:: SafeModules Elapsed: 63.62770000001183ms
Info 67   [09:40:43.254] Different program with same set of files
Info 68   [09:40:47.349] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 69   [09:40:47.357] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false structureIsReused:: Completely Elapsed: 8.044200000003912ms
Info 70   [09:40:47.357] Different program with same set of files
Info 71   [09:40:49.068] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 72   [09:40:49.077] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false structureIsReused:: Completely Elapsed: 8.046599999943282ms
Info 73   [09:40:49.077] Different program with same set of files
Info 74   [09:40:49.077] getCompletionData: Get current token: 0.00990000000456348
Info 75   [09:40:49.077] getCompletionData: Is inside comment: 0.026400000031571835
Info 76   [09:40:49.078] getCompletionData: Get previous token: 0.054100000008475035
Info 77   [09:40:49.078] getCompletionsAtPosition: isCompletionListBlocker: 0.1197999999858439
Info 78   [09:40:49.083] getCompletionData: Semantic work: 4.706100000010338
Info 79   [09:40:49.101] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 17.754399999976158
Info 80   [09:40:49.187] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 81   [09:40:49.195] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false structureIsReused:: Completely Elapsed: 8.056099999987055ms
Info 82   [09:40:49.195] Different program with same set of files
Info 83   [09:40:49.195] getCompletionData: Get current token: 0.008399999991524965
Info 84   [09:40:49.195] getCompletionData: Is inside comment: 0.017700000025797635
Info 85   [09:40:49.195] getCompletionData: Get previous token: 0.022599999967496842
Info 86   [09:40:49.195] getCompletionsAtPosition: isCompletionListBlocker: 0.002299999992828816
Info 87   [09:40:49.196] getCompletionData: Semantic work: 0.45949999999720603
Info 88   [09:40:49.197] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 1.0571999999810942
Info 89   [09:40:50.553] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 90   [09:40:50.558] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false structureIsReused:: Completely Elapsed: 5.043299999961164ms
Info 91   [09:40:50.558] Different program with same set of files
Info 92   [09:40:50.939] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 93   [09:40:50.948] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false structureIsReused:: Completely Elapsed: 9.176000000035856ms
Info 94   [09:40:50.948] Different program with same set of files
Info 95   [09:41:26.377] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 96   [09:41:26.395] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false structureIsReused:: Completely Elapsed: 17.647299999953248ms
Info 97   [09:41:26.395] Different program with same set of files
Info 98   [09:41:27.360] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 99   [09:41:27.368] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false structureIsReused:: Completely Elapsed: 7.5182999999960884ms
Info 100  [09:41:27.368] Different program with same set of files
Info 101  [09:41:28.404] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 102  [09:41:28.411] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false structureIsReused:: Completely Elapsed: 6.780499999993481ms
Info 103  [09:41:28.411] Different program with same set of files
Info 104  [09:41:28.805] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 105  [09:41:28.809] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false structureIsReused:: Completely Elapsed: 4.352499999979045ms
Info 106  [09:41:28.810] Different program with same set of files
Info 107  [09:41:29.973] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 108  [09:41:29.983] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false structureIsReused:: Completely Elapsed: 10.12420000002021ms
Info 109  [09:41:29.983] Different program with same set of files
Info 110  [09:41:30.485] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 111  [09:41:30.493] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false structureIsReused:: Completely Elapsed: 8.357099999964703ms
